date,Temp_out,Press_mm_hg,Windspeed,Visibility,lights,Appliances
2016-01-11 17:00,6.60,733.50,7.00,63.00,30,60
2016-01-11 17:10,6.48,733.60,6.70,59.20,30,60
2016-01-11 17:20,6.37,733.70,6.30,55.30,30,50
2016-01-11 17:30,6.25,733.80,6.00,51.50,40,50
2016-01-11 17:40,6.13,733.90,5.70,47.70,40,60
2016-01-11 17:50,6.02,734.00,5.30,43.80,40,50
2016-01-11 18:00,5.90,734.10,5.00,40.00,50,60
2016-01-11 18:10,5.92,734.20,5.20,40.00,50,60
2016-01-11 18:20,5.93,734.20,5.30,40.00,40,60
2016-01-11 18:30,5.95,734.30,5.50,40.00,40,70
2016-01-11 18:40,5.97,734.40,5.70,40.00,70,230
2016-01-11 18:50,5.98,734.40,5.80,40.00,60,580
2016-01-11 19:00,6.00,734.50,6.00,40.00,50,430
2016-01-11 19:10,6.00,734.60,6.00,40.00,40,250
2016-01-11 19:20,6.00,734.70,6.00,40.00,10,100
2016-01-11 19:30,6.00,734.90,6.00,40.00,10,100
2016-01-11 19:40,6.00,735.00,6.00,40.00,10,90
2016-01-11 19:50,6.00,735.10,6.00,40.00,30,70
2016-01-11 20:00,6.00,735.20,6.00,40.00,30,80
2016-01-11 20:10,6.00,735.20,6.00,40.00,40,140
2016-01-11 20:20,6.00,735.30,6.00,40.00,20,120
2016-01-11 20:30,6.00,735.30,6.00,40.00,40,190
2016-01-11 20:40,6.00,735.30,6.00,40.00,40,110
2016-01-11 20:50,6.00,735.40,6.00,40.00,40,110
2016-01-11 21:00,6.00,735.40,6.00,40.00,30,110
2016-01-11 21:10,5.93,735.50,6.00,40.00,20,110
2016-01-11 21:20,5.87,735.50,6.00,40.00,30,100
2016-01-11 21:30,5.80,735.60,6.00,40.00,20,100
2016-01-11 21:40,5.73,735.70,6.00,40.00,20,100
2016-01-11 21:50,5.67,735.70,6.00,40.00,20,100
2016-01-11 22:00,5.60,735.80,6.00,40.00,20,110
2016-01-11 22:10,5.65,735.90,6.20,40.00,20,400
2016-01-11 22:20,5.70,736.00,6.30,40.00,20,400
2016-01-11 22:30,5.75,736.00,6.50,40.00,30,390
2016-01-11 22:40,5.80,736.10,6.70,40.00,20,240
2016-01-11 22:50,5.85,736.20,6.80,40.00,20,60
2016-01-11 23:00,5.90,736.30,7.00,40.00,20,60
2016-01-11 23:10,5.80,736.40,6.80,37.00,20,60
2016-01-11 23:20,5.70,736.50,6.70,34.00,10,50
2016-01-11 23:30,5.60,736.60,6.50,31.00,20,70
2016-01-11 23:40,5.50,736.70,6.30,28.00,20,60
2016-01-11 23:50,5.40,736.80,6.20,25.00,20,40
2016-01-12 00:00,5.30,736.90,6.00,22.00,10,40
2016-01-12 00:10,5.27,737.00,6.00,25.00,20,30
2016-01-12 00:20,5.23,737.10,6.00,28.00,20,40
2016-01-12 00:30,5.20,737.20,6.00,31.00,20,50
2016-01-12 00:40,5.17,737.30,6.00,34.00,10,310
2016-01-12 00:50,5.13,737.40,6.00,37.00,20,380
2016-01-12 01:00,5.10,737.50,6.00,40.00,20,380
2016-01-12 01:10,5.12,737.60,5.80,40.00,20,370
2016-01-12 01:20,5.13,737.80,5.70,40.00,10,120
2016-01-12 01:30,5.15,737.90,5.50,40.00,0,50
2016-01-12 01:40,5.17,738.00,5.30,40.00,0,40
2016-01-12 01:50,5.18,738.20,5.20,40.00,0,50
2016-01-12 02:00,5.20,738.30,5.00,40.00,0,40
2016-01-12 02:10,5.13,738.40,4.80,40.00,0,50
2016-01-12 02:20,5.07,738.50,4.70,40.00,0,50
2016-01-12 02:30,5.00,738.60,4.50,40.00,0,50
2016-01-12 02:40,4.93,738.70,4.30,40.00,0,40
2016-01-12 02:50,4.87,738.80,4.20,40.00,0,40
2016-01-12 03:00,4.80,738.90,4.00,40.00,0,30
2016-01-12 03:10,4.82,739.00,4.30,40.00,0,20
2016-01-12 03:20,4.83,739.10,4.70,40.00,0,20
2016-01-12 03:30,4.85,739.30,5.00,40.00,0,40
2016-01-12 03:40,4.87,739.40,5.30,40.00,0,50
2016-01-12 03:50,4.88,739.50,5.70,40.00,0,50
2016-01-12 04:00,4.90,739.60,6.00,40.00,0,40
2016-01-12 04:10,4.92,739.60,5.80,40.00,0,50
2016-01-12 04:20,4.93,739.70,5.70,40.00,0,40
2016-01-12 04:30,4.95,739.80,5.50,40.00,0,40
2016-01-12 04:40,4.97,739.80,5.30,40.00,0,40
2016-01-12 04:50,4.98,739.90,5.20,40.00,0,60
2016-01-12 05:00,5.00,739.90,5.00,40.00,0,50
2016-01-12 05:10,4.98,740.00,4.80,40.00,0,50
2016-01-12 05:20,4.97,740.00,4.70,40.00,0,40
2016-01-12 05:30,4.95,740.10,4.50,40.00,0,40
2016-01-12 05:40,4.93,740.20,4.30,40.00,0,40
2016-01-12 05:50,4.92,740.20,4.20,40.00,0,40
2016-01-12 06:00,4.90,740.30,4.00,40.00,0,50
2016-01-12 06:10,4.93,740.40,4.20,38.20,10,70
2016-01-12 06:20,4.97,740.60,4.30,36.30,0,40
2016-01-12 06:30,5.00,740.70,4.50,34.50,0,30
2016-01-12 06:40,5.03,740.80,4.70,32.70,10,20
2016-01-12 06:50,5.07,741.00,4.80,30.80,0,30
2016-01-12 07:00,5.10,741.10,5.00,29.00,10,40
2016-01-12 07:10,5.10,741.20,5.00,30.80,10,50
2016-01-12 07:20,5.10,741.30,5.00,32.70,20,60
2016-01-12 07:30,5.10,741.50,5.00,34.50,20,60
2016-01-12 07:40,5.10,741.60,5.00,36.30,20,70
2016-01-12 07:50,5.10,741.70,5.00,38.20,30,60
2016-01-12 08:00,5.10,741.80,5.00,40.00,20,140
2016-01-12 08:10,5.05,741.90,5.00,40.00,30,110
2016-01-12 08:20,5.00,742.00,5.00,40.00,10,90
2016-01-12 08:30,4.95,742.00,5.00,40.00,0,60
2016-01-12 08:40,4.90,742.10,5.00,40.00,0,60
