date,pH,Oxygen,Chloride,Nitrates,Ammonium,Orthophosphate,Phosphate,Chlorophyll,fluid_velocity,river_depth,season
2018-09-30,8.1,11.4,40.02,5.33,346.67,125.67,187.06,15.6,medium,low,autumn
2018-10-05,8.06,9.0,55.35,10.42,233.7,58.22,97.58,10.5,medium,low,autumn
2018-10-07,8.05,10.6,59.07,4.99,205.67,44.67,77.43,6.9,high,low,autumn
2018-10-09,7.55,11.5,4.7,1.32,14.75,4.25,98.25,1.1,high,low,autumn
2018-10-11,7.75,10.3,32.92,2.94,42.0,16.0,40.0,7.6,high,low,autumn
2018-10-13,6.8,11.1,9.0,0.63,20.0,4.0,111.55080808080808,2.7,high,low,autumn
2018-10-15,7.4,12.5,13.0,3.33,60.0,72.0,142.0,4.9,high,low,autumn
2018-10-17,8.4,9.9,34.5,2.82,20.0,47.0,2.3,13.6,medium,low,autumn
2018-10-19,8.0,12.1,66.3,4.54,39.0,16.0,39.0,0.8,high,low,autumn
2018-10-21,7.29,11.21,17.75,3.07,35.0,13.0,20.81,12.1,medium,low,autumn
2018-10-23,5.7,10.8,43.636842105263156,2.55,10.0,1.0,4.0,13.541010638297873,medium,low,autumn
2018-10-25,6.6,11.3,43.636842105263156,4.17,10.0,1.0,6.0,13.541010638297873,medium,low,autumn
2018-10-27,7.83,11.7,4.08,1.33,18.0,3.33,6.67,13.541010638297873,high,low,autumn
2018-10-29,8.5,8.1,38.13,3.85,225.0,45.0,152.33,5.2,medium,medium,autumn
2018-10-31,8.1,9.8,29.5,1.29,224.29,25.17,102.33,3.6,medium,medium,autumn
2018-11-02,7.3,11.7,10.4,4.93,130.0,10.8,60.0,4.3,high,medium,autumn
2018-11-04,7.5,10.8,31.0,4.41,737.5,111.25,214.0,2.9,medium,medium,autumn
2018-11-06,8.5,10.5,56.72,0.33,215.71,23.0,138.5,20.83,low,medium,autumn
2018-11-08,7.6,10.0,49.63,5.46,308.75,38.63,285.71,75.0,low,medium,autumn
2018-11-10,8.3,11.1,41.5,4.67,931.83,39.0,124.2,13.1,high,medium,autumn
2018-11-12,8.3,11.6,5.83,0.7,12.73,3.55,13.2,3.2,medium,medium,autumn
2018-11-14,8.0,11.9,130.67,6.54,196.0,75.0,84.0,4.5,medium,medium,autumn
2018-11-16,8.1,11.7,35.66,5.13,46.5,49.0,88.5,2.5,medium,medium,autumn
2018-11-18,7.9,10.5,10.21,2.3,132.25,10.58,23.49,2.0,high,medium,autumn
2018-11-20,7.8,6.5,64.09,7.74,47.5,276.0,8.1,6.5,low,medium,autumn
2018-11-22,8.3,9.9,40.23,1.59,235.0,33.8,75.21,23.8,high,medium,autumn
2018-11-24,8.87,11.0,41.16,2.27,54.75,39.0,72.7,22.7,high,medium,autumn
2018-11-26,7.3,11.8,44.21,45.65,44.0,34.0,53.1,2.2,high,medium,autumn
2018-11-28,7.8,10.53,100.83,5.41,486.5,24.0,58.37,27.5,medium,medium,autumn
2018-11-30,8.4,10.6,19.22,1.66,96.83,20.67,54.92,20.6,low,high,autumn
2018-12-02,8.84,12.9,43.09,0.85,52.2,8.6,46.44,81.54,low,high,autumn
2018-12-04,7.4,10.68,22.35,5.41,244.6,66.4,171.27,3.8,high,high,autumn
2018-12-06,8.53,11.1,63.29,1.73,227.6,84.3,146.45,21.22,low,high,autumn
2018-12-08,8.06,8.3,38.9,3.68,627.27,205.64,219.91,6.21,low,high,autumn
2018-12-10,8.7,10.7,4.55,0.94,32.73,16.0,21.3,1.1,high,high,autumn
2018-12-12,8.55,11.0,22.32,3.14,82.1,45.9,101.46,18.33,low,high,autumn
2018-12-14,8.7,11.4,15.54,2.32,103.0,34.5,81.56,5.62,medium,high,autumn
2018-12-16,8.58,11.1,23.83,3.62,72.6,51.11,91.11,22.9,medium,high,autumn
2018-12-18,8.4,8.4,17.38,3.83,83.75,53.63,79.75,2.34,medium,high,autumn
2018-12-20,8.2,7.0,139.99,2.98,60.11,78.33,140.22,31.74,medium,high,autumn
2018-12-21,8.0,9.8,60.8,6.24,578.0,105.0,170.0,50.0,medium,low,winter
2018-12-22,8.25,13.1,65.75,9.25,430.0,18.25,56.67,28.4,high,low,winter
2018-12-23,8.7,3.4,21.95,0.89,102.75,36.3,71.0,5.54,medium,low,winter
2018-12-24,7.93,9.9,8.0,1.39,5.8,27.25,46.6,0.8,high,low,winter
2018-12-25,7.74,9.6,5.0,1.22,27.29,12.0,17.0,41.0,high,low,winter
2018-12-26,7.9,9.6,3.0,1.45,46.2,13.0,61.6,0.3,high,low,winter
2018-12-27,7.78,12.0,7.0,1.42,34.33,18.67,50.0,1.1,high,low,winter
2018-12-28,7.83,10.7,88.0,4.82,467.5,586.0,16.0,0.0,medium,low,winter
2018-12-29,7.62,8.5,11.87,1.72,208.33,3.0,27.5,1.7,high,low,winter
2018-12-30,7.09,8.4,10.5,1.57,28.0,4.0,13.6,0.5,high,low,winter
