date,week,cases_weekly_count,cases_rate_14_day,cases,deaths
2020-01-06,1,12,0.08,23,0
2020-01-13,2,10,0.029,33,0
2020-01-20,3,20,0.013,53,0
2020-01-27,4,32,0.017,85,1
2020-02-03,5,46,0.024,131,1
2020-02-10,6,23,0.037,154,2
2020-02-17,7,205,0.07,359,11
2020-02-24,8,2372,0.651,2731,94
2020-03-02,9,11970,3.189,14701,815
2020-03-09,10,50448,13.792,65149,3903
2020-03-16,11,116219,36.826,181368,13055
2020-03-23,12,175185,64.388,356553,30695
2020-03-30,13,157314,73.468,513867,51300
2020-04-06,14,132943,64.134,646810,70528
2020-04-13,15,98416,51.12,745226,86090
2020-04-20,16,76040,38.547,821266,97594
2020-04-27,17,49420,27.721,870686,105528
2020-05-04,18,40176,19.797,910862,111387
2020-05-11,19,35286,16.674,946148,115436
2020-05-18,20,31930,14.852,978078,118335
2020-05-25,21,27833,13.205,1005911,120554
2020-06-01,22,26647,12.141,1032558,122329
2020-06-08,23,27648,12.1,1060206,123679
2020-06-15,24,29164,12.553,1089370,124864
2020-06-22,25,29382,12.936,1118752,125764
2020-06-29,26,27520,12.573,1146272,126521
2020-07-06,27,29263,12.547,1175535,127194
2020-07-13,28,38447,14.961,1213982,127814
2020-07-20,29,51088,19.783,1265070,128468
2020-07-27,30,64231,25.481,1329301,129244
2020-08-03,31,82189,32.353,1411490,130127
2020-08-10,32,103329,40.992,1514819,131127
2020-08-17,33,129862,51.525,1644681,132242
2020-08-24,34,154401,62.81,1799082,133388
2020-08-31,35,178199,73.49,1977281,134783
2020-09-07,36,217430,87.417,2194711,136491
2020-09-14,37,263230,106.205,2457941,138749
2020-09-21,38,273478,118.59,2731419,141457
2020-09-28,39,309868,128.895,3041287,144590
2020-10-05,40,480306,174.595,3521593,148748
2020-10-12,41,722196,265.702,4243789,154754
2020-10-19,42,1108520,404.51,5352309,164621
2020-10-26,43,1393718,552.888,6746027,180543
2020-11-02,44,1435144,625.058,8181171,202826
2020-11-09,45,1254705,594.342,9435876,228819
2020-11-16,46,1087115,517.442,10522991,257115
2020-11-23,47,899281,438.909,11422272,285041
2020-11-30,48,825690,381.145,12247962,312230
2020-12-07,49,856494,371.691,13104456,339422
2020-12-14,50,934837,395.808,14039293,365986
2020-12-21,51,790493,381.224,14829786,389209
2020-12-28,52,897179,372.903,15726965,412459
2021-01-04,1,1096567,440.533,16823532,436574
2021-01-11,2,973360,457.365,17796892,460838
2021-01-18,3,943547,423.555,18740439,485068
2021-01-25,4,857835,398.029,19598274,507505
2021-02-01,5,733627,351.645,20331901,527497
2021-02-08,6,627435,300.737,20959336,544359
2021-02-15,7,654582,283.271,21613918,558922
2021-02-22,8,754292,311.301,22368210,572704
2021-03-01,9,811983,346.08,23180193,586294
2021-03-08,10,918046,382.263,24098239,600742
2021-03-15,11,1034788,431.493,25133027,616142
2021-03-22,12,1175186,488.31,26308213,632546
2021-03-29,13,1090178,500.549,27398391,649908
2021-04-05,14,960449,453.101,28358840,667107
2021-04-12,15,924108,416.407,29282948,683196
2021-04-19,16,823375,386.119,30106323,697995
2021-04-26,17,684137,333.096,30790460,710400
2021-05-03,18,561946,275.331,31352406,720305
2021-05-10,19,423200,217.675,31775606,727981
2021-05-17,20,343998,169.518,32119604,733663
2021-05-24,21,247361,130.665,32366965,737722
2021-05-31,22,192928,97.285,32559893,740563
2021-06-07,23,131307,71.642,32691200,742574
2021-06-14,24,95463,50.106,32786663,744076
2021-06-21,25,88728,40.698,32875391,745124
2021-06-28,26,157215,54.343,33032606,745941
2021-07-05,27,294678,99.849,33327284,746636
2021-07-12,28,417298,157.316,33744582,747331
2021-07-19,29,485052,199.381,34229634,748297
2021-07-26,30,485000,214.34,34714634,749701
2021-08-02,31,460368,208.886,35175002,751535
2021-08-09,32,467400,204.997,35642402,753807
2021-08-16,33,458203,204.519,36100605,756681
2021-08-23,34,445663,199.716,36546268,759853
2021-08-30,35,401159,187.112,36947427,763242
2021-09-06,36,362244,168.679,37309671,766785
2021-09-13,37,338658,154.869,37648329,770528
2021-09-20,38,323677,146.348,37972006,774334
2021-09-27,39,355337,150.033,38327343,778693
2021-10-04,40,392784,165.303,38720127,783899
2021-10-11,41,468765,190.366,39188892,789994
2021-10-18,42,642123,245.459,39831015,797684
2021-10-25,43,794954,317.533,40625969,806605
2021-11-01,44,980534,392.307,41606503,816782
2021-11-08,45,1261575,495.41,42868078,828381
2021-11-15,46,1606566,633.737,44474644,841280
2021-11-22,47,1815302,756.087,46289946,855192
2021-11-29,48,1861690,812.458,48151636,869199
2021-12-06,49,1767820,801.967,49919456,882899
2021-12-13,50,1791307,786.415,51710763,895663
2021-12-20,51,2186269,878.874,53897032,906834
2021-12-27,52,4140759,1398.003,58037791,917784
2022-01-03,1,5969371,2233.907,64007162,928516
2022-01-10,2,6762416,2813.181,70769578,940444
2022-01-17,3,8550018,3383.394,79319596,952557
2022-01-24,4,9059874,3891.034,88379470,965717
2022-01-31,5,7786089,3722.239,96165559,980530
2022-02-07,6,5924724,3029.504,102090283,995127
2022-02-14,7,4371627,2275.054,106461910,1008805
2022-02-21,8,3484343,1735.834,109946253,1020415
2022-02-28,9,3458404,1534.051,113404657,1030126
2022-03-07,10,3991889,1646.197,117396546,1038220
2022-03-14,11,4351868,1843.614,121748414,1045898
2022-03-21,12,4396691,1933.058,126145105,1053064
2022-03-28,13,3804811,1812.182,129949916,1059892
2022-04-04,14,3116999,1529.424,133066915,1066128
2022-04-11,15,2562851,1255.004,135629766,1071640
2022-04-18,16,2197149,1051.757,137826915,1076574
2022-04-25,17,1793414,881.744,139620329,1081152
2022-05-02,18,1471223,721.345,141091552,1085115
2022-05-09,19,1346708,622.642,142438260,1088565
2022-05-16,20,1073755,534.819,143512015,1091472
2022-05-23,21,808819,415.968,144320834,1093791
2022-05-30,22,876318,372.343,145197152,1095948
2022-06-06,23,1026104,420.354,146223256,1098018
2022-06-13,24,1359927,527.211,147583183,1100207
2022-06-20,25,1905436,721.506,149488619,1102673
2022-06-27,26,2526471,979.262,152015090,1105441
2022-07-04,27,2877849,1194.124,154892939,1109084
2022-07-11,28,2646234,1220.587,157539173,1113678
2022-07-18,29,2231390,1077.747,159770563,1119044
2022-07-25,30,1731118,875.545,161501681,1124252
2022-08-01,31,1286522,666.77,162788203,1128826
2022-08-08,32,1000918,505.427,163789121,1132827
2022-08-15,33,840418,406.857,164629539,1136300
2022-08-22,34,766358,360.476,165395897,1139039
2022-08-29,35,675050,318.49,166070947,1141391
2022-09-05,36,671012,297.422,166741959,1143335
2022-09-12,37,803929,325.899,167545888,1145190
2022-09-19,38,960521,389.868,168506409,1147119
2022-09-26,39,1364425,513.714,169870834,1149702
2022-10-03,40,1628625,661.336,171499459,1153166
2022-10-10,41,1644550,723.232,173144009,1157257
2022-10-17,42,1402421,673.251,174546430,1161317
2022-10-24,43,998887,530.587,175545317,1164914
2022-10-31,44,741485,384.548,176286802,1167870
2022-11-07,45,702033,318.956,176988835,1170654
2022-11-14,46,781365,327.768,177770200,1173444
2022-11-21,47,851441,360.78,178621641,1176306
2022-11-28,48,972019,402.907,179593660,1179599
2022-12-05,49,1015375,439.129,180609035,1183262
2022-12-12,50,972837,439.31,181581872,1187664
2022-12-19,51,834050,402.681,182415922,1192356
2022-12-26,52,586379,313.854,183002301,1196742
2023-01-02,1,445519,228.005,183447820,1200616
2023-01-09,2,301030,165.093,183748850,1203666
2023-01-16,3,212257,113.415,183961107,1206051
2023-01-23,4,211471,93.626,184172578,1207991
2023-01-30,5,219207,95.161,184391785,1209608
2023-02-06,6,221421,97.36,184613206,1211185
2023-02-13,7,253167,104.864,184866373,1212947
2023-02-20,8,287441,119.451,185153814,1214640
2023-02-27,9,253643,119.556,185407457,1216237
2023-03-06,10,223757,105.485,185631214,1217814
2023-03-13,11,217697,97.542,185848911,1219590
2023-03-20,12,205416,93.49,186054327,1221267
2023-03-27,13,174431,83.93,186228758,1222817
2023-04-03,14,146073,70.818,186374831,1224077
2023-04-10,15,145185,64.356,186520016,1225381
2023-04-17,16,140042,63.023,186660058,1226768
2023-04-24,17,118385,57.101,186778443,1228081
2023-05-01,18,96538,47.493,186874981,1229274
2023-05-08,19,83406,39.76,186958387,1230280
2023-05-15,20,73780,34.731,187032167,1231130
2023-05-22,21,75296,32.939,187107463,1231882
2023-05-29,22,54969,28.783,187162432,1232540
2023-06-05,23,44334,21.942,187206766,1233094
2023-06-12,24,34249,17.363,187241015,1233520
2023-06-19,25,27704,13.689,187268719,1233872
2023-06-26,26,12453,10.858,187281172,1234070
2023-07-03,27,9170,8.824,187290342,1234239
2023-07-10,28,9562,7.644,187299904,1234378
2023-07-17,29,10907,8.353,187310811,1234515
2023-07-24,30,14037,10.235,187324848,1234663
2023-07-31,31,17681,12.943,187342529,1234819
2023-08-07,32,19795,15.35,187362324,1234967
2023-08-14,33,26285,18.804,187388609,1235184
2023-08-21,34,36893,25.781,187425502,1235448
2023-08-28,35,44526,33.23,187470028,1235722
2023-09-04,36,58163,41.911,187528191,1236044
2023-09-11,37,74164,54.008,187602355,1236430
2023-09-18,38,83497,64.347,187685852,1236803
2023-09-25,39,84414,70.118,187770266,1237160
2023-10-02,40,85310,70.876,187855576,1237574
2023-10-09,41,78536,68.421,187934112,1238045
2023-10-16,42,65272,65.08,187999384,1238432
2023-10-23,43,41766,49.872,188041150,1238650
