Timestamp,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
2023-10-10 00:00,Tuesday,31,0,4,4,39,low
2023-10-10 00:15,Tuesday,49,0,3,3,55,low
2023-10-10 00:30,Tuesday,46,0,3,6,55,low
2023-10-10 00:45,Tuesday,51,0,2,5,58,low
2023-10-10 01:00,Tuesday,57,6,15,16,94,normal
2023-10-10 01:15,Tuesday,44,0,5,4,53,low
2023-10-10 01:30,Tuesday,37,0,1,4,42,low
2023-10-10 01:45,Tuesday,42,4,4,5,55,low
2023-10-10 02:00,Tuesday,51,0,9,7,67,low
2023-10-10 02:15,Tuesday,34,0,4,7,45,low
2023-10-10 02:30,Tuesday,45,0,1,1,47,low
2023-10-10 02:45,Tuesday,45,0,1,3,49,low
2023-10-10 03:00,Tuesday,50,0,3,0,53,low
2023-10-10 03:15,Tuesday,34,0,4,4,42,low
2023-10-10 03:30,Tuesday,129,22,42,1,194,heavy
2023-10-10 03:45,Tuesday,144,16,49,0,209,heavy
2023-10-10 04:00,Tuesday,111,28,20,3,162,normal
2023-10-10 04:15,Tuesday,67,11,10,16,104,normal
2023-10-10 04:30,Tuesday,65,24,7,16,112,normal
2023-10-10 04:45,Tuesday,94,27,7,16,144,normal
2023-10-10 05:00,Tuesday,94,20,8,7,129,normal
2023-10-10 05:15,Tuesday,67,29,5,10,111,low
2023-10-10 05:30,Tuesday,56,12,2,14,84,normal
2023-10-10 05:45,Tuesday,57,13,3,11,84,low
2023-10-10 06:00,Tuesday,129,22,42,1,194,heavy
2023-10-10 06:15,Tuesday,144,16,49,0,209,heavy
2023-10-10 06:30,Tuesday,111,28,20,3,162,normal
2023-10-10 06:45,Tuesday,120,27,46,3,196,heavy
2023-10-10 07:00,Tuesday,102,39,47,1,189,heavy
2023-10-10 07:15,Tuesday,145,23,27,0,195,heavy
2023-10-10 07:30,Tuesday,114,37,21,5,177,heavy
2023-10-10 07:45,Tuesday,108,18,22,1,149,normal
2023-10-10 08:00,Tuesday,122,28,33,1,184,heavy
2023-10-10 08:15,Tuesday,114,39,30,3,186,heavy
2023-10-10 08:30,Tuesday,150,36,25,1,212,heavy
2023-10-10 08:45,Tuesday,107,10,49,2,168,heavy
2023-10-10 09:00,Tuesday,124,24,22,0,170,heavy
2023-10-10 09:15,Tuesday,77,16,39,29,161,high
2023-10-10 09:30,Tuesday,15,23,30,21,89,normal
2023-10-10 09:45,Tuesday,32,22,38,21,113,high
2023-10-10 10:00,Tuesday,68,13,29,24,134,high
2023-10-10 10:15,Tuesday,27,16,36,30,109,normal
2023-10-10 10:30,Tuesday,76,7,11,15,109,normal
2023-10-10 10:45,Tuesday,41,23,20,17,101,normal
2023-10-10 11:00,Tuesday,33,10,3,29,75,normal
2023-10-10 11:15,Tuesday,58,8,14,29,109,normal
2023-10-10 11:30,Tuesday,65,7,11,26,109,normal
2023-10-10 11:45,Tuesday,47,9,6,29,91,normal
2023-10-10 12:00,Tuesday,38,10,5,25,78,normal
2023-10-10 12:15,Tuesday,57,8,12,29,106,normal
2023-10-10 12:30,Tuesday,20,6,4,20,50,normal
2023-10-10 12:45,Tuesday,24,9,14,23,70,normal
2023-10-10 13:00,Tuesday,52,10,13,21,96,normal
2023-10-10 13:15,Tuesday,79,15,36,18,148,high
2023-10-10 13:30,Tuesday,84,24,22,18,148,normal
2023-10-10 13:45,Tuesday,59,19,35,16,129,high
2023-10-10 14:00,Tuesday,88,26,31,19,164,high
2023-10-10 14:15,Tuesday,24,11,32,13,80,normal
2023-10-10 14:30,Tuesday,110,17,23,20,170,heavy
2023-10-10 14:45,Tuesday,29,26,5,6,66,low
2023-10-10 15:00,Tuesday,43,26,11,20,100,normal
2023-10-10 15:15,Tuesday,68,28,9,15,120,normal
2023-10-10 15:30,Tuesday,108,16,8,18,150,normal
2023-10-10 15:45,Tuesday,101,26,8,14,149,normal
2023-10-10 16:00,Tuesday,141,31,36,6,214,heavy
