['[5.38854215 4.45563188 5.06511966 5.31064972 5.91290226 5.68588264        4.54224234 2.43957181 0.53202592 5.         5.         5.        5.         5.         5.         5.         5.         5.        5.        ]', '6.59176883', '6.48163068', '6.48068962', '6.0936051']
['[6.59176883 5.38854215 4.45563188 5.06511966 5.31064972 5.91290226        5.68588264 4.54224234 2.43957181 5.         5.         5.        5.         5.         5.         5.         5.         5.        5.        ]', '7.86367769', '7.72863663', '7.72621965', '7.06523311']
['[7.86367769 6.59176883 5.38854215 4.45563188 5.06511966 5.31064972        5.91290226 5.68588264 4.54224234 5.         5.         5.        5.         5.         5.         5.         5.         5.        5.        ]', '8.74424185', '8.49224164', '8.49168769', '7.89001693']
['[8.74424185 7.86367769 6.59176883 5.38854215 4.45563188 5.06511966        5.31064972 5.91290226 5.68588264 5.         5.         5.        5.         5.         5.         5.         5.         5.        5.        ]', '8.73827931', '8.72885493', '8.72539433', '8.30456108']
['[8.73827931 8.74424185 7.86367769 6.59176883 5.38854215 4.45563188        5.06511966 5.31064972 5.91290226 5.         5.         5.        5.         5.         5.         5.         5.         5.        5.        ]', '8.21980503', '8.36922365', '8.36614212', '8.25032603']
['[8.21980503 8.73827931 8.74424185 7.86367769 6.59176883 5.38854215        4.45563188 5.06511966 5.31064972 5.         5.         5.        5.         5.         5.         5.         5.         5.        5.        ]', '7.92719749', '7.83094882', '7.83105719', '7.80760622']
['[7.92719749 8.21980503 8.73827931 8.74424185 7.86367769 6.59176883        5.38854215 4.45563188 5.06511966 5.         5.         5.        5.         5.         5.         5.         5.         5.        5.        ]', '7.91075196', '7.68321246', '7.68462254', '7.82083448']
['[7.91075196 7.92719749 8.21980503 8.73827931 8.74424185 7.86367769        6.59176883 5.38854215 4.45563188 5.         5.         5.        5.         5.         5.         5.         5.         5.        5.        ]', '8.27527544', '8.20005029', '8.19697714', '8.05868209']
['[8.27527544 7.91075196 7.92719749 8.21980503 8.73827931 8.74424185        7.86367769 6.59176883 5.38854215 5.         5.         5.        5.         5.         5.         5.         5.         5.        5.        ]', '8.94203001', '8.94454632', '8.94188293', '8.54371433']
['[8.94203001 8.27527544 7.91075196 7.92719749 8.21980503 8.73827931        8.74424185 7.86367769 6.59176883 5.         5.         5.        5.         5.         5.         5.         5.         5.        5.        ]', '9.68465847', '9.68563682', '9.68241681', '9.13298651']
['[9.68465847 8.94203001 8.27527544 7.91075196 7.92719749 8.21980503        8.73827931 8.74424185 7.86367769 5.         5.         5.        5.         5.         5.         5.         5.         5.        5.        ]', '10.08693436', '10.091906', '10.09089191', '9.58601399']
['[10.08693436  9.68465847  8.94203001  8.27527544  7.91075196  7.92719749         8.21980503  8.73827931  8.74424185  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '10.14400266', '10.07860964', '10.07987976', '9.72525683']
['[10.14400266 10.08693436  9.68465847  8.94203001  8.27527544  7.91075196         7.92719749  8.21980503  8.73827931  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '9.90718127', '9.87030089', '9.87052461', '9.69987728']
['[ 9.90718127 10.14400266 10.08693436  9.68465847  8.94203001  8.27527544         7.91075196  7.92719749  8.21980503  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '9.57928737', '9.65498042', '9.65379906', '9.55162843']
['[ 9.57928737  9.90718127 10.14400266 10.08693436  9.68465847  8.94203001         8.27527544  7.91075196  7.92719749  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '9.61193446', '9.5532203', '9.55322595', '9.42616477']
['[ 9.61193446  9.57928737  9.90718127 10.14400266 10.08693436  9.68465847         8.94203001  8.27527544  7.91075196  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '9.72642176', '9.77721464', '9.77722037', '9.58350951']
['[ 9.72642176  9.61193446  9.57928737  9.90718127 10.14400266 10.08693436         9.68465847  8.94203001  8.27527544  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '10.31411491', '10.17397393', '10.17357036', '9.80654752']
['[10.31411491  9.72642176  9.61193446  9.57928737  9.90718127 10.14400266        10.08693436  9.68465847  8.94203001  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '10.80574892', '10.64941999', '10.64858479', '10.24891463']
['[10.80574892 10.31411491  9.72642176  9.61193446  9.57928737  9.90718127        10.14400266 10.08693436  9.68465847  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '11.02853794', '10.96246184', '10.96061784', '10.56139872']
['[11.02853794 10.80574892 10.31411491  9.72642176  9.61193446  9.57928737         9.90718127 10.14400266 10.08693436  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '10.9279421', '10.9788196', '10.97721575', '10.64888224']
['[10.9279421  11.02853794 10.80574892 10.31411491  9.72642176  9.61193446         9.57928737  9.90718127 10.14400266  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '10.63550647', '10.76337808', '10.76261863', '10.51979141']
['[10.63550647 10.9279421  11.02853794 10.80574892 10.31411491  9.72642176         9.61193446  9.57928737  9.90718127  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '10.58892212', '10.50045981', '10.50131532', '10.34763886']
['[10.58892212 10.63550647 10.9279421  11.02853794 10.80574892 10.31411491         9.72642176  9.61193446  9.57928737  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '10.48429492', '10.48078696', '10.48186635', '10.34273225']
['[10.48429492 10.58892212 10.63550647 10.9279421  11.02853794 10.80574892        10.31411491  9.72642176  9.61193446  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '10.45765861', '10.65164259', '10.65190873', '10.39981869']
['[10.45765861 10.48429492 10.58892212 10.63550647 10.9279421  11.02853794        10.80574892 10.31411491  9.72642176  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '11.02615279', '10.90536848', '10.90522984', '10.48481956']
['[11.02615279 10.45765861 10.48429492 10.58892212 10.63550647 10.9279421        11.02853794 10.80574892 10.31411491  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '11.32667075', '11.23066178', '11.23092523', '10.87846229']
['[11.32667075 11.02615279 10.45765861 10.48429492 10.58892212 10.63550647        10.9279421  11.02853794 10.80574892  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '11.3624422', '11.40620838', '11.40626675', '11.04155885']
['[11.3624422  11.32667075 11.02615279 10.45765861 10.48429492 10.58892212        10.63550647 10.9279421  11.02853794  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '11.24848502', '11.35023533', '11.35045858', '11.00318772']
