date,pH,Oxygen,Chloride,Nitrates,Ammonium,Orthophosphate,Phosphate,Chlorophyll,fluid_velocity,river_depth,season
30/09/2018,8.1,11.4,40.02,5.33,346.67,125.67,187.06,15.6,medium,low,autumn
05/10/2018,8.06,9,55.35,10.42,233.7,58.22,97.58,10.5,medium,low,autumn
07/10/2018,8.05,10.6,59.07,4.99,205.67,44.67,77.43,6.9,high,low,autumn
09/10/2018,7.55,11.5,4.7,1.32,14.75,4.25,98.25,1.1,high,low,autumn
11/10/2018,7.75,10.3,32.92,2.94,42,16,40,7.6,high,low,autumn
13/10/2018,6.8,11.1,9,0.63,20,4,,2.7,high,low,autumn
15/10/2018,7.4,12.5,13,3.33,60,72,142,4.9,high,low,autumn
17/10/2018,8.4,9.9,34.5,2.82,20,47,2.3,13.6,medium,low,autumn
19/10/2018,8,12.1,66.3,4.54,39,16,39,0.8,high,low,autumn
21/10/2018,7.29,11.21,17.75,3.07,35,13,20.81,12.1,medium,low,autumn
23/10/2018,5.7,10.8,,2.55,10,1,4,,medium,low,autumn
25/10/2018,6.6,11.3,,4.17,10,1,6,,medium,low,autumn
27/10/2018,7.83,11.7,4.08,1.33,18,3.33,6.67,,high,low,autumn
29/10/2018,8.5,8.1,38.13,3.85,225,45,152.33,5.2,medium,medium,autumn
31/10/2018,8.1,9.8,29.5,1.29,224.29,25.17,102.33,3.6,medium,medium,autumn
02/11/2018,7.3,11.7,10.4,4.93,130,10.8,60,4.3,high,medium,autumn
04/11/2018,7.5,10.8,31,4.41,737.5,111.25,214,2.9,medium,medium,autumn
06/11/2018,8.5,10.5,56.72,0.33,215.71,23,138.5,20.83,low,medium,autumn
08/11/2018,7.6,10,49.63,5.46,308.75,38.63,285.71,75,low,medium,autumn
10/11/2018,8.3,11.1,41.5,4.67,931.83,39,124.2,13.1,high,medium,autumn
12/11/2018,8.3,11.6,5.83,0.7,12.73,3.55,13.2,3.2,medium,medium,autumn
14/11/2018,8,11.9,130.67,6.54,196,75,84,4.5,medium,medium,autumn
16/11/2018,8.1,11.7,35.66,5.13,46.5,49,88.5,2.5,medium,medium,autumn
18/11/2018,7.9,10.5,10.21,2.3,132.25,10.58,23.49,2,high,medium,autumn
20/11/2018,7.8,6.5,64.09,7.74,47.5,276,8.1,6.5,low,medium,autumn
22/11/2018,8.3,9.9,40.23,1.59,235,33.8,75.21,23.8,high,medium,autumn
24/11/2018,8.87,11,41.16,2.27,54.75,39,72.7,22.7,high,medium,autumn
26/11/2018,7.3,11.8,44.21,45.65,44,34,53.1,2.2,high,medium,autumn
28/11/2018,7.8,10.53,100.83,5.41,486.5,24,58.37,27.5,medium,medium,autumn
30/11/2018,8.4,10.6,19.22,1.66,96.83,20.67,54.92,20.6,low,high,autumn
02/12/2018,8.84,12.9,43.09,0.85,52.2,8.6,46.44,81.54,low,high,autumn
04/12/2018,7.4,10.68,22.35,5.41,244.6,66.4,171.27,3.8,high,high,autumn
06/12/2018,8.53,11.1,63.29,1.73,227.6,84.3,146.45,21.22,low,high,autumn
08/12/2018,8.06,8.3,38.9,3.68,627.27,205.64,219.91,6.21,low,high,autumn
10/12/2018,8.7,10.7,4.55,0.94,32.73,16,21.3,1.1,high,high,autumn
